date	starttime	endtime	starttemp	endtemp	air conditioner	trafic	route	dist	avg.cons.	speed	duration	fuel type	road	num. persons
2018.06.03	00:03	01:16	17	15	off	low	bp-dujv	69.8	4.5	57	01:13	95+	standard	1
2018.06.03	08:20	09:29	19	24	off	low	dujv-bp	68.6	4.6	59	01:09	95+	standard	2
2018.06.03	13:00	15:00	30	28	on	normal	bp-dujv	79.5	6	47	01:40	95+	standard	3
2018.06.04	15:30	16:30	29	28	on	normal	dujv-szelid	45.2	4.3	56	00:48	95+	standard	1
2018.06.04	18:18	19:10	30	25	on	normal	szelid-dujv	47.5	4.7	57	00:49	95+	standard	1
2018.06.05	21:04	22:20	25	25	off	normal	bp-dujv	72.9	4.6	56	01:17	95+	standard	1
2018.06.07	10:48	11:36	18	24	off	normal	dujv-szfvar	52.9	5.2	58	00:52	95+	standard	1
2018.06.07	15:22	16:25	31	26	on	normal	szfvar-dujv	53.3	5.2	50	01:03	95+	standard	1
2018.06.08	21:25	22:28	24	22	off	normal	szfvar-dujv	54.4	4.5	51	01:03	95+	standard	1
2018.06.10	17:11	18:38	30	24	on	normal	dujv-bp	68	4.8	50	01:21	95+	standard	1
2018.06.10	20:48	22:05	23	22	off	low	bp-dujv	70	4.5	55	01:15	95FS	standard	1
2018.06.11	11:11	11:47	25	27	off	low	dujv-ercsi	35.9	4.2	58	00:37	95FS	standard	1
2018.06.11	13:32	14:14	29	29	on	low	ercsi-dujv	36.7	4.5	53	00:41	95FS	standard	1
2018.06.12	08:50	09:49	29	26	on	normal	dujv-szfvar	52.3	4.7	53	00:58	95FS	standard	1
2018.06.12	12:45	13:37	30	30	on	normal	szfvar-dujv	51.8	4.4	53	00:58	95FS	standard	1
2018.06.15	11:15	11:45	16	18	off	normal	dujv-dunaegyhaza	21.7	4.4	45	00:29	95FS	standard	1
2018.06.15	11:45	13:05	18	22	off	normal	dunaegyhaza-bp	89.1	5.9	77	01:09	95FS	highway	2
2018.06.15	17:10	18:15	23	21	on	normal	bp-dujv	72.9	6	70	01:02	95FS	highway	2
2018.06.20	17:30	18:26	32	28	on	normal	szfvar-dujv	53.2	5.5	58	00:55	95+	standard	1
2018.06.21	06:36	07:40	22	23	off	normal	dujv-bp	70.4	4.7	63	01:07	95+	highway	1
2018.06.21	18:00	18:56	30	28	on	normal	bp-dujv	66	5	72	00:54	95+	highway	1
2018.06.23	07:45	08:45	11	15	off	normal	dujv-bp	72.1	6	74	00:58	95+	highway	2
2018.06.23	18:15	19:35	18	17	off	normal	bp-dujv	75.4	5.3	62	01:12	95+	highway	2
2018.06.24	14:05	15:17	18	20	off	low	dujv-kkmet	74.4	4.1	61	01:12	95FS	standard	1
2018.06.24	15:35	16:51	20	22	on	normal	kkmet-szeged	88.4	5.8	84	01:03	95FS	highway	4
2018.06.24	17:25	20:20	25	18	off	traffic jam + normal	szeged-novisad	137.4	5.3	48	02:50	95FS	highway	1
2018.06.27	14:20	17:03	17	14	off	normal	novisad-horgos	140.5	5.4	56	02:28	95FS	highway	1
2017.06.27	17:03	17:32	14	14	off	traffic jam	horgos-roszke	0.6	18.1	1	00:23	95FS	highway	1
2017.06.28	08:25	09:30	16	20	off	normal	dujv-bp	70.3	5	67	01:02	95FS	highway	1
